CATNO;QID;CON;[MESSIER];NAME_DE;NAME_EN;MAG;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;QTYPE;DIST_MLY;DIST_COM_MPC;REDSHIFT;Q
57;EXO 0423.4-0840;ERI;;;;15.90;04;25.845;-08;33.717;BL;0.5;153;0.039;Q;;;-20.2;;;;;;;0423-086;25;50.7;33;43
58;OF+092;ORI;;PKS 0454+039;PKS 0454+039;16.53;04;56.785;+04;0.883;QSO;7.2;3530;1.349;Q;16.5;;-28.2;GC 0454+039;;;;;33;0454+039;56;47.1;00;53
59;S5 0454+84;CEP;;;;16.50;05;8.708;+84;32.083;BL;1.3;423;0.112;Q;;;-22.7;;;;;;;0454+844;08;42.5;32;05
60;MG 0509+0541;ORI;;;;16.00;05;9.432;+05;41.583;BL;;;;Q;;;;;;;;;;0506+056;09;25.9;41;35
61;1E 0514-005;ORI;;;;16.18;05;16.558;-00;27.233;QSO;2.9;1016;0.291;Q;16.2;;-25.1;;;;;;34;0514-005;16;33.5;27;14
62;HS 0624+6907;CAM;;;;14.44;06;30.040;+69;5.067;QSO;3.5;1254;0.370;Q;;;-27.4;;;;;;;0624+691;30;02.4;05;04
63;1ES 0647+250;GEM;;;;15.30;06;50.775;+25;3.000;BL;;;;Q;;;;;;;;;;0647+251;50;46.5;03;00
64;MS 07007+6338;CAM;;;;15.67;07;5.490;+63;33.550;QSO;1.7;563;0.152;Q;;;-24.2;;;;;;;0700+636;05;29.4;33;33
65;7ZW 118;CAM;;PGC 20174;PGC 20174;14.61;07;7.220;+64;35.983;QSO;0.9;303;0.079;Q;;;-23.1;;;;;;;0702+646;07;13.2;35;59
66;B2 0709+370;AUR;;;;15.49;07;13.157;+36;56.117;QSO;4.2;1584;0.487;Q;;;-26.8;;;;;;;0709+370;13;09.4;56;07
67;S5 0716+71;CAM;;;;15.50;07;21.888;+71;20.600;BL;;;;Q;;;;;;;;;;0716+714;21;53.3;20;36
68;PKS 0735+178;GEM;;OI+158;OI+158;16.22;07;38.123;+17;42.317;BL;3.8;1409;0.424;Q;14.8;15.7 v;-25.4;DA 237;;;;;35;0735+178;38;07.4;42;19
69;OI+061;CMI;;PKS 0736+017;PKS 0736+017;16.47;07;39.300;+01;37.067;QSO;2.1;696;0.191;Q;16.5;;-23.5;;;;;;36;0736+017;39;18.0;37;04
70;B2 0738+313;GEM;;OI+363;OI+363;16.14;07;41.178;+31;11.983;QSO;4.9;1959;0.630;Q;;;-26.8;;;;;;;0738+313;41;10.7;11;59
71;4C 41.30;GEM;;B2 0742+318;B2 0742+318;15.63;07;45.693;+31;42.933;QSO;4.0;1515;0.462;Q;16.0;;-26.6;OI+371;;;;;37;0742+318;45;41.6;42;56
72;IRAS 07483+0328;CMI;;;;15.20;07;51.012;+03;20.683;QSO;1.2;376;0.099;Q;;;-23.7;;;;;;;0748+034;51;00.7;20;41
73;B2 0749+379;LYN;;UT 0749+379;UT 0749+379;16.50;07;52.478;+37;50.867;QSO;6.8;3237;1.200;Q;;;-28.2;;;;;;;0749+379;52;28.7;50;52
74;GB 0751+485;LYN;;;;16.50;07;54.760;+48;23.833;BL;;;;Q;;;;;;;;;;0751+485;54;45.6;23;50
75;OI+90.4;CNC;;PKS 0754+100;PKS 0754+100;15.00;07;57.112;+09;56.583;BL;5.0;2034;0.660;Q;13.8;14.8 v;-27.7;;;;;;38;0754+100;57;06.7;56;35
76;1E 0754+395;LYN;;MS 07546+392;MS 07546+392;14.36;07;58.002;+39;20.500;QSO;1.1;365;0.096;Q;14.4;;-24.1;8;;;;;39;0754+394;58;00.1;20;30
77;KUV 07549+4228;LYN;;;;16.13;07;58.330;+42;19.583;QSO;2.2;758;0.210;Q;;;-24.2;;;;;;;0754+424;58;19.8;19;35
78;IRAS 07598+6508;CAM;;;;15.50;08;4.507;+64;59.883;QSO;1.7;550;0.148;Q;;;-24.3;;;;;;;0759+651;04;30.4;59;53
79;MS 08019+2129;CNC;;;;15.92;08;4.883;+21;20.683;QSO;1.4;444;0.118;Q;;;-23.4;;;;;;;0801+214;04;53.0;20;41
80;SBS 0801+581;LYN;;;;16.50;08;5.695;+58;3.033;QSO;3.9;1454;0.440;Q;;;-25.7;;;;;;;0801+581;05;41.7;03;02
81;KUV 08057+4148;LYN;;;;16.26;08;9.110;+41;39.533;QSO;6.8;3237;1.200;Q;;;-28.4;;;;;;;0805+418;09;06.6;39;32
82;1ES 0806+524;LYN;;;;15.30;08;9.820;+52;18.967;BL;;;;Q;;;;;;;;;;0806+524;09;49.2;18;58
83;KUV 08070+4109;LYN;;;;16.47;08;10.432;+40;59.983;QSO;5.1;2059;0.670;Q;;;-26.7;;;;;;;0807+411;10;25.9;59;59
84;PG 0804+762;CAM;;PGC 22946;PGC 22946;14.71;08;10.975;+76;2.717;QSO;1.2;380;0.100;Q;15.2;;-23.9;;;;;;40;0804+761;10;58.5;02;43
85;RX J08153+2735;CNC;;;;16.10;08;15.343;+27;36.300;QSO;6.0;2622;0.910;Q;;;-27.9;;;;;;;0812+277;15;20.6;36;18
86;KUV 08126+4154;LYN;;;;16.40;08;15.987;+41;44.950;QSO;7.0;3396;1.280;Q;;;-28.4;;;;;;;0812+419;15;59.2;44;57
87;OJ-131;PUP;;PKS 0818-128;PKS 0818-128;15.00;08;20.957;-12;58.983;BL;;;;Q;14.9;16.5 v;;;;;;;41;0818-128;20;57.4;58;59
88;OJ+049;HYA;;PKS 0829+046;PKS 0829+046;16.40;08;31.815;+04;29.650;BL;2.0;659;0.180;Q;16.4;;-23.1;;;;;;42;0829+046;31;48.9;29;39
89;PG 0832+251;CNC;;;;15.90;08;35.598;+24;59.683;QSO;3.2;1138;0.331;Q;;;-25.7;;;;;;;0832+251;35;35.9;59;41
90;US 1329;LYN;;;;15.60;08;36.982;+44;26.033;QSO;2.6;885;0.249;Q;;;-25.4;;;;;;;0833+446;36;58.9;26;02
91;TEX 0836+182;CNC;;;;16.40;08;39.512;+18;2.783;BL;;;;Q;;;;;;;;;;0836+182;39;30.7;02;47
92;3C 206;HYA;;PKS 0837-120;PKS 0837-120;15.76;08;39.843;-12;14.567;QSO;2.2;725;0.200;Q;15.8;v;-24.7;OJ-162;NRAO 299;;;;43;0837-120;39;50.6;14;34
93;CSO 199;LYN;;;;16.00;08;41.300;+35;44.633;QSO;7.9;4304;1.775;Q;;;-29.6;;;;;;;0838+359;41;18.0;44;38
94;4C 71.07;UMA;;S5 0836+71;S5 0836+71;16.50;08;41.407;+70;53.700;QSO;8.4;4956;2.172;Q;;;-29.7;;;;;;;0836+710;41;24.4;53;42
95;KUV 08384+4103;LYN;;;;16.47;08;41.695;+40;52.617;QSO;5.5;2277;0.760;Q;;;-27.0;;;;;;;0838+410;41;41.7;52;37
96;DW 0839+18;CNC;;;;16.36;08;42.085;+18;35.700;QSO;7.0;3380;1.272;Q;;;-28.2;;;;;;;0839+187;42;05.1;35;42
97;7ZW 244;CAM;;PGC 24560;PGC 24560;15.70;08;44.755;+76;53.167;QSO;1.5;490;0.131;Q;16.3;;-23.8;;;;;;44;0838+770;44;45.3;53;10
98;TON 951;LYN;;PG 0844+349;PG 0844+349;14.50;08;47.708;+34;45.083;QSO;0.8;247;0.064;Q;14.0;;-23.1;PGC 24702;;;;;45;0844+349;47;42.5;45;05
99;0846+51W1;UMA;;;;15.72;08;49.967;+51;8.483;QSO;8.0;4449;1.860;Q;;;-29.4;;;;;;;0846+513;49;58.0;08;29
100;LB 8741;CNC;;;;17.04;08;50.490;+18;53.817;QSO;4.6;1800;0.568;Q;16.6;v;-25.6;;;;;;46;0847+190;50;29.4;53;49
101;OJ+287;CNC;;PG 0851+202;PG 0851+202;15.43;08;54.813;+20;6.500;BL;3.0;1062;0.306;Q;12.7;15.6 v;-25.5;;;;;;47;0851+202;54;48.8;06;30
102;TON 978;LYN;;;;16.40;08;58.477;+34;23.733;QSO;2.6;910;0.257;Q;;;-24.6;;;;;;;0855+345;58;28.6;23;44
103;LB 9292;CNC;;;;16.42;09;6.060;+19;41.733;QSO;6.8;3249;1.206;Q;;;-27.8;;;;;;;0903+198;06;03.6;41;44
104;PG 0906+484;UMA;;;;16.10;09;10.165;+48;13.700;AGN;1.4;444;0.118;Q;16.1;;-22.8;;;;;;48;0906+484;10;09.9;13;42
105;TON 392;CNC;;;;16.10;09;12.297;+24;50.633;QSO;5.0;2019;0.654;Q;;;-27.0;;;;;;;0909+250;12;17.8;50;38
106;SBS 0909+532;UMA;;;;16.00;09;13.042;+52;59.617;QSO;7.2;3580;1.375;Q;;;-29.0;;;;;;;0909+531;13;02.5;59;37
107;OK+222;CNC;;B2 0912+29;B2 0912+29;16.39;09;15.873;+29;33.400;BL;;;;Q;15.8;16.4 v;;;;;;;49;0912+297;15;52.4;33;24
108;NGC 2841 UB3;UMA;;;;16.20;09;19.962;+51;6.183;QSO;4.5;1760;0.553;Q;;;-26.5;;;;;;;0916+513;19;57.7;06;11
109;TON 1057;LEO;;PG 0923+201;PG 0923+201;15.83;09;25.912;+19;54.067;QSO;2.1;692;0.190;Q;16.0;;-24.5;;;;;;50;0923+201;25;54.7;54;04
110;US 737;UMA;;PG 0931+437;PG 0931+437;16.44;09;35.043;+43;31.183;QSO;4.0;1499;0.456;Q;;;-25.8;;;;;;;0931+437;35;02.6;31;11
111;MK 707;HYA;;PG 0934+013;PG 0934+013;15.98;09;37.018;+01;5.717;AGN;0.6;199;0.051;Q;16.3;;-20.8;ZWG 7.13;PGC 27370      NPM1G +01.0247;;;;51;0934+013;37;01.1;05;43
112;TON 1078;LMI;;CGS 105;CGS 105;16.00;09;37.032;+34;25.000;QSO;6.0;2618;0.908;Q;;;-28.0;;;;;;;0934+346;37;01.9;25;00
113;PG 0935+416;UMA;;;;16.16;09;38.950;+41;28.350;QSO;8.2;4625;1.966;Q;;;-29.6;;;;;;;0935+416;38;57.0;28;21
114;PG 0936+396;LYN;;;;16.30;09;39.743;+39;24.033;QSO;4.0;1504;0.458;Q;;;-26.0;;;;;;;0936+396;39;44.6;24;02
115;J01.03;HYA;;;;16.20;09;39.853;-18;32.267;QSO;8.6;5306;2.400;Q;;;-30.4;;;;;;;0937-183;39;51.2;32;16
116;4C 12.35;LEO;;;;16.00;09;45.832;+12;5.517;QSO;;;;Q;;;;;;;;;;0943+123;45;49.9;05;31
117;IRAS 09435-1307;HYA;;;;16.30;09;46.012;-13;21.033;QSO;1.5;490;0.131;Q;;;-23.2;;;;;;;0943-131;46;00.7;21;02
118;MS 09441+1333;LEO;;;;16.05;09;46.882;+13;19.650;QSO;1.5;490;0.131;Q;;;-23.5;;;;;;;0944+135;46;52.9;19;39
119;US 995;UMA;;;;16.45;09;48.990;+43;35.300;QSO;2.4;811;0.226;Q;;;-24.3;;;;;;;0945+438;48;59.4;35;18
120;PG 0946+301;LEO;;CSO 19;CSO 19;16.20;09;49.685;+29;55.317;QSO;6.9;3277;1.220;Q;16.0;;-28.5;;;;;;52;0946+301;49;41.1;55;19
121;K 347-45;LMI;;PG 0947+396;PG 0947+396;16.65;09;50.807;+39;26.850;QSO;2.2;745;0.206;Q;16.4;;-23.9;;;;;;53;0947+396;50;48.4;26;51
122;K 348-7;LMI;;PG 0935+415;PG 0935+415;15.32;09;56.872;+41;15.350;QSO;2.5;853;0.239;Q;15.1;;-25.6;;;;;;54;0953+414;56;52.3;15;21
123;3C 232;LEO;;4C 32.33;4C 32.33;15.78;09;58.348;+32;24.033;QSO;4.4;1700;0.530;Q;15.8;16.2 v;-26.7;TON 469;B2 955+326     OK+393         NRAO 342, DA 279;;;;55;0955+326;58;20.9;24;02
124;Q 0957+561A/B;UMA;;Double Quasar;Double Quasar;16.10;10;1.347;+55;53.867;QSO;7.3;3654;1.414;Q;16.1;;-28.1;r;;;;;56;0957+561;01;20.8;53;52
125;MK 132;UMA;;PGC 29013;PGC 29013;16.00;10;1.495;+54;54.633;QSO;7.9;4278;1.760;Q;16.0;;-29.3;;;;;;57;0958+551;01;29.7;54;38
126;FBS 787;UMA;;0959+68W1;0959+68W1;15.92;10;3.112;+68;13.300;QSO;5.5;2308;0.773;Q;;;-27.2;;;;;;;0959+684;03;06.7;13;18
127;TON 28;LMI;;PG 1001+292;PG 1001+292;16.05;10;4.043;+28;55.600;QSO;3.2;1132;0.329;Q;15.5;;-25.4;;;;;;58;1001+291;04;02.6;55;36
128;PG 1001+054;SEX;;PGC 29208;PGC 29208;16.23;10;4.335;+05;13.017;QSO;1.8;594;0.161;Q;16.4;;-23.6;;;;;;59;1001+054;04;20.1;13;01
129;4C 13.41;LEO;;PKS 1004+13;PKS 1004+13;15.15;10;7.437;+12;48.933;QSO;2.5;856;0.240;Q;15.2;;-25.6;OL+107.7;;;;;60;1004+130;07;26.2;48;56
130;HE 1006-1211;HYA;;;;16.50;10;9.045;-12;26.300;QSO;5.2;2115;0.693;Q;;;-26.7;;;;;;;1006-121;09;02.7;26;18
131;HE 1007-1405;HYA;;;;16.20;10;9.705;-14;20.500;QSO;4.7;1839;0.583;Q;;;-26.6;;;;;;;1007-140;09;42.3;20;30
132;TON 488;LMI;;CSO 35;CSO 35;16.00;10;10.012;+30;3.350;QSO;2.7;920;0.260;Q;;;-25.1;;;;;;;1007+303;10;00.7;03;21
133;4C 41.21;UMA;;GC 1007+417;GC 1007+417;16.90;10;10.458;+41;32.633;QSO;4.8;1916;0.613;Q;16.5;;-26.0;;;;;;61;1007+417;10;27.5;32;38
134;Q 1008+0058;SEX;;;;16.50;10;10.740;+00;43.517;QSO;2.0;659;0.180;Q;;;-23.7;;;;;;;1008+009;10;44.4;43;31
135;PG 1008+133;LEO;;;;16.29;10;11.180;+13;4.200;QSO;7.0;3410;1.287;Q;16.2;;-28.5;;;;;;62;1008+133;11;10.8;04;12
136;CSO 38;LMI;;;;16.00;10;11.928;+29;41.683;QSO;8.8;5629;2.620;Q;;;-30.9;;;;;;;1009+299;11;55.7;41;41
137;TON 1187;LMI;;CBS 126;CBS 126;15.40;10;13.052;+35;51.367;QSO;0.9;303;0.079;Q;;;-23.0;;;;;;;1010+361;13;03.1;51;22
138;SBS 1010+535;UMA;;;;16.00;10;13.443;+53;16.133;QSO;7.4;3806;1.495;Q;;;-29.2;;;;;;;1010+535;13;26.6;16;08
139;TON 490;LEO;;B2 1011+250;B2 1011+250;16.57;10;13.890;+24;49.267;QSO;7.7;4061;1.636;Q;15.4;;-28.8;GC 1011+250;;;;;63;1011+250;13;53.4;49;16
140;PG 1011-040;SEX;;PGC 29863;PGC 29863;15.49;10;14.345;-04;18.650;AGN;0.7;225;0.058;Q;15.5;;-22.2;;;;;;64;1011-040;14;20.7;18;39
141;PG 1012+008;SEX;;;;15.59;10;14.915;+00;33.617;QSO;2.0;676;0.185;Q;15.9;;-24.3;;;;;;65;1012+008;14;54.9;33;37
142;GB 1011+496;UMA;;;;16.15;10;15.070;+49;26.017;BL;;;;Q;;;;;;;;;;1011+496;15;04.2;26;01
143;HE 1015-1618;HYA;;;;15.90;10;18.262;-16;33.150;QSO;2.6;878;0.247;Q;;;-25.0;;;;;;;1015-163;18;15.7;33;09
144;TON 34;LEO;;;;15.69;10;19.943;+27;44.033;QSO;8.1;4546;1.918;Q;15.7;;-29.8;;;;;;66;1017+279;19;56.6;44;02
145;OL-133;SEX;;PKS 1020-103;PKS 1020-103;16.11;10;22.545;-10;37.750;QSO;2.1;716;0.197;Q;16.5;;-24.2;;;;;;67;1020-103;22;32.7;37;45
146;B3 1019+397;UMA;;;;16.00;10;22.625;+39;31.850;QSO;4.8;1895;0.605;Q;;;-26.9;;;;;;;1019+397;22;37.5;31;51
147;MK 142;UMA;;PGC 30597;PGC 30597;15.77;10;25.522;+51;40.583;AGN;0.6;176;0.045;Q;16.1;;-21.0;;;;;;68;1022+519;25;31.3;40;35
148;B2 1028+313;LMI;;OL+347;OL+347;16.71;10;30.985;+31;2.933;QSO;1.9;649;0.177;Q;16.7;v;-23.1;;;;;;69;1028+313;30;59.1;02;56
149;HE 1029-1401;HYA;;;;13.86;10;31.907;-14;16.867;QSO;1.0;329;0.086;Q;;;-24.5;;;;;;;1029-140;31;54.4;16;52
150;4C 06.41;SEX;;OL+064.5;OL+064.5;16.70;10;41.287;+06;10.267;QSO;7.0;3366;1.265;Q;16.8;v;-27.9;OTL 1038+064;;;;;70;1038+064;41;17.2;10;16
151;RX J10419+2812;LMI;;;;16.30;10;41.935;+28;12.183;QSO;2.2;762;0.211;Q;;;-24.3;;;;;;;1039+284;41;56.1;12;11
152;SBS 1040+567;UMA;;;;16.50;10;43.922;+56;28.000;QSO;8.1;4600;1.951;Q;;;-29.4;;;;;;;1040+567;43;55.3;28;00
