CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;NTYPE;VISDIM1;VISDIM2;STAR;STAR_MAG;DIST_LY;MAG;N
1;NGC1936;Dor;;IC2127;IC2127;5;22.23;-67;58.7;E-LMC;0;0;;-999;160000;;N
1;NGC1935;Dor;;IC2126;IC2126;5;21.98;-69;57.45;E-LMC;0;0;;-999;160000;;N
1;NGC1910;Dor;;LH-41;LH-41;5;18.72;-69;13.92;E-LMC;2;1;;-999;160000;11.2;N
1;NGC1714;Dor;;;;4;52.15;-66;55.4;E-LMC;1;1;;-999;160000;11.6;N
1;NGC1743;Dor;;;;4;54.05;-69;11.92;E-LMC;2;2;;-999;158000;;N
1;NGC1748;Dor;;;;4;54.43;-69;11.05;E-LMC;1;1;;-999;160000;12.3;N
1;NGC1763;Dor;;ESO 85-EN20;ESO 85-EN20;4;56.82;-66;24.55;E-LMC;5;3;;-999;160000;9.4;N
1;NGC1769;Dor;;;;4;57.79;-66;28.15;E-LMC;4;2;;-999;160000;;N
1;IC405;Aur;;Caldwell 31;Caldwell 31;5;16.3;34;19;E;30;18;AF;6.0;1500;10;N
1;IC410;Aur;;Kaulquappennebel;Tadpole Nebula;5;22.6;33;31;E;23;20;-;-1;2184;7.5;N
1;NGC281;Cas;;Pacman-Nebel;Pacman Nebula;0;53.3;56;35;E;27;23;-;-1;5542;7.4;N
1;IC59;Cas;;;;0;56.7;61;4;ER;18;12;gamma;2.3;652;;N
1;IC63;Cas;;;;1;0;60;51;ER;11;11;gamma;2.3;652;;N
1;IC1795;Cas;;;;2;24.7;61;53;-;27;13;-;-1;5542;;N
1;IC1846;Cas;;;;2;51.2;60;25;E;90;45;-;7.1;2164;;N
1;NGC7023;Cep;;Irisnebel;Iris Nebula;21;2;58;9;R;10;8;-;7.2;1825;7.1;N
1;IC1396;Cep;;Elefantenruesselnebel;Elephant's Trunk Nebula;21;39;57;27;E;165;135;-;5.6;2510;;N
1;NGC6960;Cyg;;Schleier-Nebel (w);Veil Nebula (w);20;45.7;30;42;E;70;6;-;-1;1304;7;N
1;IC5070;Cyg;;Pelikan-Nebel;Pelican Nebula;20;48,7;44;22;E;85;75;alpha;1.3;913;5;N
1;NGC6979;Cyg;;Schleier-Nebel (c);Veil Nebula (c);20;50.9;32;7;E;-1;-1;-;-1;1304;7;N
1;NGC6992;Cyg;;Schleier-Nebel (o)/6995;Veil Nebula (o)/6995;20;56.4;31;41;E;78;8;-;-1;1304;7;N
1;NGC7000;Cyg;;Nordamerika-Nebel;North America Nebula;20;58.8;44;19;E;120;100;alpha;1.3;2500;4;N
1;NGC2237;Mon;;Rosetten-Nebel;;6;32.2;4;37;E;64;61;-;-1;3586;6;N
1;IC4604;Oph;;;;16;25.6;-23;26;-;145;70;rho;4.6;391;;N
1;NGC1973;Ori;;Running Man Nebel;Running Man Nebula;5;35.2;-4;48;ER;40;25;-;8.0;1304;7;N
1;NGC1975;Ori;;Running Man Nebel;Running Man Nebula;5;35.30;-4;48.08;BNe;0;0;;0;-999;7;N
1;NGC1976;Ori;M042;Grosser Orionnebel;Orion Nebula;5;35.3;-5;23;ER;66;60;theta;6.7;1304;3.7;N
1;NGC1977;Ori;;Running Man Nebel;Running Man Nebula;5;35.28;-4;48.38;ER;40;25;42;4.6;1304;4;N
1;NGC1982;Ori;M043;Kleiner Orionnebel;De Mairans Nebula;5;35.5;-5;16;ER;20;15;-;9.1;1304;9;N
1;IC434;Ori;;;;5;41.0;-2;27.23;E;60;10;zeta;1.8;1500;11;N
1;NGC2024;Ori;;Flammennebel;Flame Nebula;5;41.9;-1;50;E;30;30;zeta;1.8;1304;10;N
1;NGC2068;Ori;M078;;;5;46.7;0;3;R;8;6;-;10.3;1600;8;N
1;NGC2174;Ori;;Affenkopfnebel;Monkey Head Nebula;6;9.7;20;30;E;29;25;-;7.4;3260;6.9;N
1;IC420;Ori;;;;5;32.3;-4;31.10;RNe;0;0;;0;-999;;N
1;NGC1499;Per;;Kalifornien-Nebel;California Nebula;4;3.4;36;25;E;145;40;-;4.1;1956;5;N
