CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;OCTYPE;_DIAM_MM;MAG;STAR_CNT;DIST_LY;AGE;OC
1;NGC361;;;;;1;2.21;-71;36.27;-;3;11.77;-999;-999;-999;OC
1;NGC1782;;;;;4;57.86;-69;23.55;-;1;10.5;-999;-999;-999;OC
1;NGC1953;;;;;5;25.45;-68;50.30;-;1;11.74;-999;-999;-999;OC
1;NGC7510;Cep;;;;23;11.00;60;34.00;II2m;7;7.9;-999;11400;10;OC
1;NGC2164;Dor;;;;5;58.90;-68;31.10;-;3;10.34;-999;160000;-999;OC
1;IC1626;;;;;1;6.24;-73;17.85;-;1;13.82;-999;-999;-999;OC
1;NGC6604;;;;;18;18.05;-12;14.50;-;0;6.5;-999;-999;-999;OC
1;NGC3960;;;;;11;50.55;-55;40.40;-;0;8.3;-999;-999;-999;OC
1;NGC2036;;;;;5;34.56;-70;3.96;-;2;12.77;-999;-999;-999;OC
1;NGC2345;;;;;7;8.30;-13;11.60;-;0;7.7;-999;-999;-999;OC
1;NGC2360;CMa;;Caroline’s Cluster;Caroline’s Cluster;7;17.72;-15;38.50;II2m;14;7.2;-999;6150;1500;OC
1;NGC6709;;;;;18;51.30;10;19.10;-;0;6.7;-999;-999;-999;OC
1;NGC3324;Car;;;;10;37.33;-58;38.50;-;15;6.7;-999;7550;-999;OC
1;NGC1724;;;;;5;3.50;49;30.00;-;0;-999;-999;-999;-999;OC
1;NGC2061;;;;;5;42.70;-34;0.60;-;0;-999;-999;-999;-999;OC
1;NGC6625;;;;;18;23.20;-12;3.00;-;0;9;-999;-999;-999;OC
1;NGC6115;;;;;16;24.60;-51;58.00;-;0;9.8;-999;-999;-999;OC
1;NGC6883;;;;;20;11.32;35;49.90;-;0;8;-999;-999;-999;OC
1;NGC6523;;;;;18;3.20;-24;23.00;-;0;-999;-999;-999;-999;OC
1;NGC2257;;;;;6;30.20;-64;19.60;-;0;12.62;-999;-999;-999;OC
1;ESO56-102;;;;;5;19.40;-69;47.27;-;1;12.95;-999;-999;-999;OC
1;NGC2111;;;;;5;44.55;-70;59.59;-;1;12.45;-999;-999;-999;OC
1;NGC6774;;;;;19;16.70;-16;17.00;-;0;-999;-999;-999;-999;OC
1;IC2714;;;;;11;17.45;-62;44.00;-;0;8.2;-999;-999;-999;OC
1;NGC1926;;;;;5;20.59;-69;31.51;-;0;11.79;-999;-999;-999;OC
1;NGC2309;;;;;6;56.20;-7;12.00;-;0;10.5;-999;-999;-999;OC
1;NGC2925;;;;;9;33.18;-53;23.90;-;0;8.3;-999;-999;-999;OC
1;NGC2401;;;;;7;29.40;-13;58.00;-;0;12.6;-999;-999;-999;OC
1;NGC2047;;;;;5;35.91;-70;11.48;-;1;13.15;-999;-999;-999;OC
1;NGC3255;;;;;10;26.50;-60;40.00;-;0;11;-999;-999;-999;OC
1;NGC796;;;;;1;56.73;-74;13.20;-;1;-999;-999;-999;-999;OC
1;NGC4439;;;;;12;28.40;-60;6.00;-;0;8.4;-999;-999;-999;OC
1;NGC2270;;;;;6;43.95;3;28.70;-;0;-999;-999;-999;-999;OC
1;NGC376;;;;;1;3.84;-72;49.56;-;2;10.9;-999;-999;-999;OC
1;NAMENGC6334FIRV;;;;;17;19.95;-35;57.50;-;0;-999;-999;-999;-999;OC
1;NGC2910;;;;;9;30.50;-52;55.00;-;0;7.2;-999;-999;-999;OC
1;NGC2080;;;;;5;39.72;-69;38.83;-;1;10.42;-999;-999;-999;OC
1;NGC1834;;;;;5;5.20;-69;12.44;-;1;-999;-999;-999;-999;OC
1;NGC2395;;;;;7;27.10;13;35.00;-;0;8;-999;-999;-999;OC
1;NGC188;Cep;;;;0;48.43;85;15.30;II2r;0;8.1;5000;6700;6400;OC
1;IC1442;;;;;22;16.50;54;3.00;-;0;9.1;-999;-999;-999;OC
1;NGC4755;Cru;;Herschels Schmuckkästchen (Kappa-Crucis-Haufen);Jewel Box (Kappa Crucis Cluster);12;53.65;-60;21.70;I3r;10;4.2;-999;6800;-13;OC
1;NGC2455;;;;;7;49.00;-21;18.00;-;0;10.2;-999;-999;-999;OC
1;NGC346;Tuc;;;;0;59.30;-72;10.80;-;0;-999;-999;210000;-999;OC
1;NGC1891;;;;;5;21.42;-35;44.50;-;0;-999;-999;-999;-999;OC
1;NGC7438;;;;;22;57.37;54;22.50;-;0;-999;-999;-999;-999;OC
1;NGC1932;;;;;5;22.45;-66;9.11;-;1;11.84;-999;-999;-999;OC
1;NGC1951;;;;;5;26.09;-66;35.86;-;2;10.58;-999;-999;-999;OC
